iter	Passed	Remaining
0	149	149535
1	157	78782
2	166	55238
3	174	43519
4	184	36633
5	192	31816
6	199	28345
7	207	25709
8	215	23757
9	223	22154
10	231	20809
11	238	19648
12	245	18603
13	250	17637
14	255	16786
15	261	16079
16	266	15420
17	271	14827
18	276	14292
19	282	13858
20	288	13472
21	294	13097
22	300	12745
23	305	12428
24	310	12125
25	316	11853
26	322	11619
27	327	11381
28	333	11152
29	338	10949
30	344	10754
31	349	10574
32	355	10409
33	360	10247
34	366	10094
35	371	9950
36	376	9804
37	382	9677
38	387	9549
39	393	9453
40	399	9344
41	404	9236
42	410	9139
43	416	9049
44	421	8950
45	427	8864
46	432	8775
47	438	8698
48	444	8621
49	449	8540
50	459	8546
51	465	8478
52	470	8406
53	476	8352
54	482	8288
55	487	8222
56	493	8169
57	499	8113
58	505	8056
59	510	7997
60	516	7945
61	521	7886
62	527	7841
63	532	7790
64	538	7742
65	543	7688
66	548	7636
67	553	7592
68	560	7562
69	566	7520
70	571	7482
71	577	7444
72	582	7402
73	588	7365
74	594	7329
75	599	7290
76	605	7253
77	609	7209
78	615	7176
79	621	7144
80	626	7110
81	632	7078
82	637	7043
83	642	7010
84	648	6979
85	654	6950
86	659	6925
87	664	6890
88	670	6860
89	675	6833
90	681	6803
91	686	6775
92	691	6746
93	697	6720
94	703	6698
95	708	6670
96	713	6643
97	719	6619
98	724	6594
99	730	6573
100	736	6555
101	742	6534
102	747	6513
103	752	6487
104	758	6464
105	763	6442
106	769	6418
107	775	6401
108	780	6377
109	785	6357
110	791	6339
111	797	6324
112	803	6305
113	809	6289
114	814	6271
115	820	6253
116	826	6237
117	831	6215
118	836	6195
119	842	6175
120	847	6156
121	853	6140
122	859	6127
123	864	6110
124	870	6094
125	876	6079
126	882	6065
127	888	6051
128	894	6038
129	899	6020
130	905	6005
131	911	5991
132	916	5972
133	921	5957
134	927	5943
135	933	5931
136	939	5915
137	944	5899
138	949	5882
139	955	5867
140	960	5852
141	966	5837
142	971	5821
143	977	5808
144	982	5793
145	987	5779
146	993	5766
147	999	5756
148	1005	5742
149	1010	5728
150	1016	5715
151	1021	5700
152	1026	5684
153	1032	5670
154	1037	5657
155	1043	5646
156	1049	5634
157	1055	5622
158	1061	5613
159	1067	5604
160	1072	5591
161	1079	5582
162	1084	5570
163	1091	5561
164	1096	5549
165	1103	5542
166	1109	5534
167	1114	5520
168	1120	5507
169	1125	5494
170	1130	5482
171	1136	5470
172	1141	5457
173	1147	5446
174	1153	5436
175	1158	5424
176	1164	5413
177	1169	5401
178	1174	5387
179	1180	5375
180	1185	5364
181	1190	5351
182	1196	5341
183	1202	5332
184	1207	5321
185	1213	5310
186	1218	5299
187	1224	5289
188	1229	5277
189	1235	5266
190	1240	5256
191	1246	5247
192	1252	5236
193	1257	5224
194	1263	5214
195	1269	5205
196	1274	5195
197	1279	5183
198	1285	5173
199	1290	5163
200	1296	5155
201	1302	5146
202	1308	5137
203	1313	5127
204	1319	5118
205	1324	5106
206	1330	5096
207	1336	5087
208	1341	5076
209	1347	5067
210	1352	5058
211	1358	5048
212	1364	5040
213	1369	5029
214	1374	5019
215	1379	5008
216	1385	4998
217	1390	4988
218	1396	4979
219	1402	4971
220	1408	4964
221	1413	4954
222	1419	4945
223	1424	4935
224	1429	4925
225	1435	4914
226	1441	4907
227	1446	4899
228	1452	4891
229	1458	4882
230	1463	4873
231	1469	4865
232	1475	4856
233	1480	4847
234	1486	4839
235	1491	4829
236	1497	4821
237	1503	4812
238	1509	4806
239	1514	4796
240	1520	4788
241	1526	4780
242	1531	4770
243	1537	4762
244	1545	4762
245	1551	4754
246	1556	4745
247	1562	4737
248	1568	4729
249	1573	4720
250	1579	4712
251	1584	4704
252	1590	4695
253	1595	4687
254	1601	4679
255	1607	4671
256	1613	4663
257	1618	4654
258	1624	4646
259	1629	4638
260	1635	4629
261	1640	4620
262	1646	4613
263	1651	4604
264	1657	4596
265	1662	4588
266	1668	4580
267	1674	4572
268	1679	4563
269	1684	4555
270	1690	4547
271	1696	4540
272	1701	4531
273	1708	4525
274	1713	4518
275	1719	4510
276	1725	4502
277	1730	4495
278	1736	4487
279	1742	4479
280	1747	4471
281	1753	4464
282	1759	4456
283	1765	4450
284	1770	4442
285	1776	4435
286	1782	4427
287	1788	4420
288	1793	4413
289	1799	4405
290	1804	4397
291	1810	4389
292	1816	4383
293	1821	4374
294	1827	4367
295	1833	4359
296	1838	4352
297	1843	4343
298	1849	4335
299	1854	4327
300	1860	4320
301	1865	4312
302	1871	4304
303	1876	4296
304	1882	4288
305	1887	4281
306	1894	4275
307	1899	4266
308	1904	4259
309	1910	4252
310	1916	4246
311	1922	4238
312	1927	4231
313	1933	4223
314	1939	4217
315	1944	4209
316	1950	4202
317	1955	4194
318	1961	4187
319	1966	4179
320	1971	4171
321	1977	4163
322	1982	4155
323	1988	4148
324	1994	4141
325	2000	4135
326	2005	4127
327	2011	4120
328	2017	4113
329	2022	4106
330	2028	4099
331	2033	4092
332	2039	4085
333	2045	4077
334	2051	4071
335	2056	4063
336	2061	4056
337	2067	4048
338	2072	4041
339	2078	4034
340	2083	4027
341	2089	4020
342	2095	4014
343	2100	4006
